Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Pub_final,Plat
Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82,78,8.5,397,Capcom,Mature,Other,Nintendo
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.5,0.29,0.01,0.08,0.88,74,55,7.3,81,BioWare,Everyone,Other,Nintendo
Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.5,0.28,0,0.09,0.88,61,8,5.5,18,n-Space,Teen,Other,Nintendo
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0,0.07,0.88,90,40,6.6,2299,Rockstar Toronto,Mature,Take-Two Interactive,PC
Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0,0.06,0.88,93,57,8.2,137,Harmonix Music Systems,Teen,Other,Xbox
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0,0.08,0.88,75,49,7.6,45,Yuke's,Teen,Other,Xbox
ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0,0.11,0.88,86,25,8.1,18,Kush Games,Everyone,Other,Playstation
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82,49,7.8,345,Gearbox Software,Mature,Take-Two Interactive,Playstation
Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0,0.03,0.87,88,49,8.8,45,FASA Studio,Teen,Microsoft Game Studios,Xbox
Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0,0,0.07,0.87,76,29,6.8,27,EA Tiburon,Everyone,Electronic Arts,Nintendo
Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0,0.06,0.87,48,4,6.6,16,Runecraft,Teen,Other,Playstation
F1 2009,Wii,2009,Racing,Codemasters,0.15,0.62,0,0.11,0.87,69,29,7.2,30,Sumo Digital,Everyone,Other,Nintendo
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0,0.03,0.87,81,33,8.8,17,Red Storm Entertainment,Mature,Ubisoft,Xbox
Sleeping Dogs,X360,2012,Action,Square Enix,0.38,0.4,0.01,0.08,0.87,80,47,7.9,468,United Front Games,Mature,Other,Xbox
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87,80,71,7.7,446,Big Huge Games,Mature,Electronic Arts,Xbox
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0,0.12,0.87,68,20,7.2,105,Jupiter Corporation,E10+,Other,Playstation
Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87,69,27,8.1,35,Alfa System,Teen,Other,Playstation
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0,0.07,0.87,63,31,6.8,29,Ubisoft Montreal,E10+,Ubisoft,Xbox
LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,73,69,6.9,159,"Media Molecule, United Front Games",Everyone,Sony,Playstation
Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0,0.12,0.87,69,17,7.3,19,Shaba Games,Teen,Activision,Playstation
GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87,87,62,7.9,131,Codemasters,Everyone,Other,Xbox
DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0,0.09,0.87,83,59,7.4,94,Codemasters,Everyone,Other,Xbox
Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87,85,84,8.1,237,Volition Inc.,Mature,Other,Xbox
Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0,0.12,0.87,88,37,9,37,EA Sports,Teen,Electronic Arts,Playstation
Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0,0.02,0.87,65,14,8.1,17,SCi,Teen,Other,Xbox
LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.32,0,0.08,0.87,,,7.1,14,TT Games,E10+,Other,Xbox
Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,62,17,4.9,12,Cooking Mama Limited,Everyone,Other,Nintendo
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0,0.09,0.87,76,65,8.3,149,Gearbox Software,Mature,Ubisoft,Xbox
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92,19,8.3,129,SquareSoft,Teen,Other,Playstation
Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,55,14,8.2,16,Omega Force,Teen,Other,Playstation
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77,23,6.3,288,Crytek,Mature,Electronic Arts,Playstation
Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72,43,7.1,73,Pandemic Studios,Teen,Electronic Arts,Playstation
Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0.2,0,0.07,0.86,76,29,8.5,28,Red Fly Studio,E10+,Other,Nintendo
Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0,0.14,0.86,80,69,6.2,160,FreeStyleGames,Teen,Activision,Playstation
